天宮紫水 : 「『ここでは今までの物語を読むことができるよ』」
まり : 「そ、そうかな……そうだね……よーし、じゃあ気を取り直して」
まり : 「ごほん。えー皆さーん！！これよりオープニングエキシビションを行いたいと思いますっ！！」
まり : 「まずは一組目は……相馬成美さんとミナサキちゃん、日ノ出陽葵さんによる『戦慄のサンライズ応援屋』チーム！！」
まり : 「『戦慄のサンライズ応援屋』チームの皆さん、ステージの方へお願いします！」
戦慄のサンライズ応援屋 : 「はーい♪今年も張り切っちゃうわ」「みんなー！私頑張るよ！！」「ひゃっほーう！おひねりよろしくぅ！」
まり : 「それでは、音楽チームの皆さんお願いしますね」
バンド＆ＤＪチーム : 「ＯＫ！」「任せて！」「ミュージック・スタートぅ！！」
観客 : 「「フゥーー！！」」
蛇子 : 「わあー！やっぱ盛り上がるね！アマノウズメさんに頼んで、よかったんじゃない？」
まり : 「そうだね、順調に進みそうで良かった～……」
リノア : 「……大変」
まり : 「わわっ、リノアさん！？急に現れてびっくりしました」
蛇子 : 「リノアちゃんも踊りに来たの？」
リノア : 「いいえ。ラプラスの予測により、今からここに……あっ、来ました」
蛇子 : 「えっ？何が？」
ドド……
タコたち : 「ＴＡＣＯＦｏｏーー！！」
蛇子 : 「きゃー！？タコちゃん！？」
まり : 「な、何！？急にタコの大群が現れて……！？蛇子ちゃんちの子！？」
蛇子 : 「違う違う！あんな色の子初めて見たし！それにあのタコちゃんたち、私じゃなくてステージの方へ突撃してるよ！？」
タコたち : 「ＴＡＣＯＦｏｏーー！！」
陽葵 : 「うきゃあ！？キミたちどいて！？」
ミナサキ : 「ボクがカワイイからって、そんなに集まってきちゃダメだよー！」
成美 : 「悪いけど、軟体動物は守備範囲外なのよね」
まり : 「リノアさん、あれはいったい！？」
リノア : 「あのタコは桐生先生の研究室で飼われてる変異種のうちのひとつ」
リノア : 「赤と青、それぞれ一匹ずつだったのに、今朝から急に増殖して、脱走したの」
リノア : 「慌てて捕獲に出たんだけど、どこに逃げたかわからなくて……」
リノア : 「ラプラスに分析させてみたら、音楽と踊りに引き付けられる性質があるとわかったので、ここに先回りを」
まり : 「音楽と踊りに……それでまっすぐステージに突撃したわけですか」
リノア : 「単に陽キャでパリピなだけだから、悪さはしないと思うんだけど……」
まり : 「でもどうしましょう、このままじゃダンス大会が！」
まり : 「せっかく主催代行を引き受けたのに、ダンス部の皆さんに申し訳が立ちません」
リノア : 「私もなんとか捕まえたい、けれど、こんなに増殖してしまっては捕獲するのも簡単じゃない」
朧 : 「なんだい、ごちゃごちゃと。タコごときさっさと始末すればいいだろ」
まり : 「朧さん！ここで暴力は禁止ですよ？！」
朧 : 「違うよ。そいつらは歌と踊りに引き付けられるんだろ」
朧 : 「だったら歌って踊りながら、寄ってきた奴を捕まえればいいんじゃないのかい」
まり : 「あっ……な、なるほど……？」
朧 : 「さっきから見てりゃ、タコどもの動きにはどうも法則性がある」
朧 : 「踊りながらうまくタイミングを合わせて急所を突けば大人しくさせられるはずだ」
リノア : 「なるほど、音ゲーの要領」
まり : 「いいアイディアです！さすがショーパブの集客に苦労なさったという朧さん……！」
朧 : 「ぐっ……うるさいわねガキが！納得したんだったらさっさと実行しな！」
まり : 「はいっ――というわけです皆さん、踊りながらタイミングを取って、タコさんを……」
タコたち : 「ＴＡＣＯＦｏｏーー！！」「ＴＡＣＯＦｏｏーー！！」「ＴＡＣＯＦｏｏーー！！」
まり : 「……ってまた増えた！？さすがにこれだけの数、出演者たちだけで捕まえるのは無理が……」
まり : 「ああー、どこかにダンスがうまくて、音ゲーもうまいスーパーゲーマーでもいないでしょうか……！！」
？？ : 「呼んだかしら！」
まり : 「わわっ、あなたは！？」
観客 : 「おおっ！？Ｙ－ｋａｚｅＸちゃん！？」
観客 : 「カリスマゲーム配信者にしてアイドル、天才シューターのＹ－ｋａｚｅＸちゃんだ！」
Ｙ－ｋａｚｅＸ : 「シューティングだけだと思わないで。歌って踊れるスーパーゲーマー、Ｙ－ｋａｚｅＸが加勢するわ！」
観客 : 「うおお！！」
Ｙ－ｋａｚｅＸ : 「さあ、きなさい！雷……じゃない、天才ゲーマーにしてアイドル、Ｙ－ｋａｚｅＸが相手してあげるわ！」
